,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-11-30,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-06,2023-12-06,2023-12-06,2023-12-06,2024-05-06,2024-05-06,2024-05-06,2024-05-06,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-06,2024-12-06,2024-12-06,2024-12-06,2025-05-06,2025-05-06,2025-05-06,2025-05-06,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-06,2038-12-06,2038-12-06,2039-05-06,2039-05-06,2039-05-06,2039-05-06
2018-12-03,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-06,2023-12-06,2023-12-06,2023-12-06,2024-05-06,2024-05-06,2024-05-06,2024-05-06,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-06,2024-12-06,2024-12-06,2024-12-06,2025-05-06,2025-05-06,2025-05-06,2025-05-06,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-06,2038-12-06,2038-12-06,2039-05-06,2039-05-06,2039-05-06,2039-05-06
2018-12-04,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-06,2023-12-06,2023-12-06,2023-12-06,2024-05-06,2024-05-06,2024-05-06,2024-05-06,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-06,2024-12-06,2024-12-06,2024-12-06,2025-05-06,2025-05-06,2025-05-06,2025-05-06,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-06,2038-12-06,2038-12-06,2039-05-06,2039-05-06,2039-05-06,2039-05-06
2018-12-05,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-06,2023-12-06,2023-12-06,2023-12-06,2024-05-06,2024-05-06,2024-05-06,2024-05-06,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-06,2024-12-06,2024-12-06,2024-12-06,2025-05-06,2025-05-06,2025-05-06,2025-05-06,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-06,2038-12-06,2038-12-06,2039-05-06,2039-05-06,2039-05-06,2039-05-06
2018-12-06,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-06,2023-12-06,2023-12-06,2023-12-06,2024-05-06,2024-05-06,2024-05-06,2024-05-06,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-06,2024-12-06,2024-12-06,2024-12-06,2025-05-06,2025-05-06,2025-05-06,2025-05-06,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-06,2038-12-06,2038-12-06,2039-05-06,2039-05-06,2039-05-06,2039-05-06
2018-12-07,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-06,2023-12-06,2023-12-06,2023-12-06,2024-05-06,2024-05-06,2024-05-06,2024-05-06,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-06,2024-12-06,2024-12-06,2024-12-06,2025-05-06,2025-05-06,2025-05-06,2025-05-06,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-06,2038-12-06,2038-12-06,2039-05-06,2039-05-06,2039-05-06,2039-05-06
2018-12-10,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-06,2023-12-13,2023-12-06,2023-12-13,2024-05-06,2024-05-13,2024-05-06,2024-05-13,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-06,2024-12-13,2024-12-06,2024-12-13,2025-05-06,2025-05-13,2025-05-06,2025-05-13,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-13,2038-12-06,2038-12-13,2039-05-06,2039-05-13,2039-05-06,2039-05-13
2018-12-11,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-06,2023-12-13,2023-12-06,2023-12-13,2024-05-06,2024-05-13,2024-05-06,2024-05-13,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-06,2024-12-13,2024-12-06,2024-12-13,2025-05-06,2025-05-13,2025-05-06,2025-05-13,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-13,2038-12-06,2038-12-13,2039-05-06,2039-05-13,2039-05-06,2039-05-13
2018-12-12,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-06,2023-12-13,2023-12-06,2023-12-13,2024-05-06,2024-05-13,2024-05-06,2024-05-13,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-06,2024-12-13,2024-12-06,2024-12-13,2025-05-06,2025-05-13,2025-05-06,2025-05-13,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-13,2038-12-06,2038-12-13,2039-05-06,2039-05-13,2039-05-06,2039-05-13
2018-12-13,2024-09-18,2024-09-18,2024-09-18,2024-09-18,2023-12-06,2023-12-13,2023-12-06,2023-12-13,2024-05-06,2024-05-13,2024-05-06,2024-05-13,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2024-12-06,2024-12-13,2024-12-06,2024-12-13,2025-05-06,2025-05-13,2025-05-06,2025-05-13,2039-09-19,2039-09-19,2039-09-19,2039-09-19,2038-12-06,2038-12-13,2038-12-06,2038-12-13,2039-05-06,2039-05-13,2039-05-06,2039-05-13
